category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
Nomenclatura náutica,&lt;p&gt;¿Qué es el barbotén?&lt;/p&gt;,,,radio,1,,,,off,off,1,Un tambor firmemente unido al otro extremo del eje del molinete.::0::0::::::A::1::::;;La pieza que permite embragar y desembragar el eje del molinete.::0::0::::::A::2::::;;Una máquina eléctrica o hidráulica que se emplea para virar y arriar la cadena del ancla.::0::0::::::A::3::::;;Una corona con muescas donde se acoplan los eslabones de la cadena.::1::0::::::A::4::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,1
Legislación,"&lt;p&gt;Las embarcaciones deportivas o de recreo autorizadas para un máximo de doce pasajeros realizará la notificación reducida de desechos del Anexo V del Real Decreto 1381/2002, de 20 de Diciembre:&lt;/p&gt;",,,radio,1,,,,off,off,1,"Cuando se trate de embarcaciones con base en un puerto español, anualmente ante la Autoridad Portuaria.::0::0::::::A::45::::;;Cuando se trate de embarcaciones con base en un puerto español, cada seis meses ante la Instalación Portuaria Receptora autorizada para su gestión.::0::0::::::A::46::::;;Cuando se trate de embarcaciones con base en un puerto extranjero, cada vez que entren a un puerto español ante la Autoridad Portuaria.::0::0::::::A::47::::;;Cuando se trate de embarcaciones que no tengan base en un puerto español, procedentes de un puerto extranjero, a la llegada de la embarcación al primer puerto español.::1::0::::::A::48::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,12
Balizamiento,"&lt;p&gt;Si tiene luz, ¿cómo es la señal luminosa de una marca de peligro aislado?&lt;/p&gt;",,,radio,1,,,,off,off,1,Blanca con un ritmo de grupos de dos destellos.::1::0::::::A::49::::;;Amarilla con un ritmo de grupos de dos destellos.::0::0::::::A::50::::;;Blanca con un ritmo de grupos de tres destellos.::0::0::::::A::51::::;;Blanca con un ritmo de grupos de seis destellos.::0::0::::::A::52::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,13
Balizamiento,&lt;p&gt;¿Qué indica una marca especial?&lt;/p&gt;,,,radio,1,,,,off,off,1,Únicamente zonas o configuraciones especiales que no se visualizan al consultar cartas o publicaciones náuticas.::0::0::::::A::53::::;;Siempre zonas de ejercicios militares.::0::0::::::A::54::::;;Siempre zonas reservadas al recreo.::0::0::::::A::55::::;;Zonas o configuraciones especiales cuya naturaleza se visualiza al consultar la carta u otra publicación náutica.::1::0::::::A::56::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,14
Balizamiento,"&lt;p&gt;Si tiene luz, ¿cómo es el ritmo centelleante de la marca cardinal Este?&lt;/p&gt;",,,radio,1,,,,off,off,1,Blanco continuo rápido.::0::0::::::A::57::::;;Blanco continuo muy rápido.::0::0::::::A::58::::;;Seis centelleos muy rápidos o rápidos de luz blanca.::0::0::::::A::59::::;;Tres centelleos muy rápidos o rápidos de luz blanca.::1::0::::::A::60::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,15
Balizamiento,&lt;p&gt;¿Qué indica una marca de aguas navegables?&lt;/p&gt;,,,radio,1,,,,off,off,1,Un peligro.::0::0::::::A::61::::;;El rumbo a seguir para llegar a aguas navegables.::0::0::::::A::62::::;;Que la zona que rodea a la marca es navegable.::1::0::::::A::63::::;;La altura media de las olas.::0::0::::::A::64::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,16
Balizamiento,&lt;p&gt;En el ritmo centelleante muy rápido de la luz blanca de una marca cardinal:&lt;/p&gt;,,,radio,1,,,,off,off,1,Hay menos de cuarenta centelleos por minuto.::0::0::::::A::65::::;;La cadencia es de cincuenta o sesenta centelleos por minuto.::0::0::::::A::66::::;;La cadencia es de cien o ciento veinte centelleos por minuto.::1::0::::::A::67::::;;La cadencia es de cuarenta centelleos por minuto.::0::0::::::A::68::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,17
Reglamento (RIPA),"&lt;p&gt;Según la regla 20 del RIPA, las luces de navegación se exhibirán:&lt;/p&gt;",,,radio,1,,,,off,off,1,"Dos horas antes del ocaso.::0::0::::::A::69::::;;Una hora antes del ocaso.::0::0::::::A::70::::;;En todo momento, aunque sea de día.::0::0::::::A::71::::;;Desde la puesta del sol hasta su salida.::1::0::::::A::72::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,18
Reglamento (RIPA),&lt;p&gt;Navegando de noche observamos por la proa una luz de tope y las dos de costado de otro buque. Estaremos ante una situación de:&lt;/p&gt;,,,radio,1,,,,off,off,1,Vuelta encontrada.::1::0::::::A::73::::;;Alcance.::0::0::::::A::74::::;;Cruce.::0::0::::::A::75::::;;Buque sin gobierno.::0::0::::::A::76::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,19
Reglamento (RIPA),"&lt;p&gt;De acuerdo con el RIPA, si un buque de vela está alcanzando a un buque de propulsión mecánica:&lt;/p&gt;",,,radio,1,,,,off,off,1,"El buque de vela se mantendrá apartado de la derrota del buque de propulsión mecánica, tal como dispone la regla 13, sobre el buque que ""alcanza"".::1::0::::::A::77::::;;El buque de propulsión mecánica se mantendrá apartado del buque de vela, de acuerdo con el orden de prioridades establecido en la regla 18.a.iv, sobre obligaciones entre categorías de buques.::0::0::::::A::78::::;;El buque de propulsión mecánica se mantendrá apartado de la derrota del buque de vela, de acuerdo con el orden de prioridades establecido en la regla 18.a.iv, sobre obligaciones entre categorías de buques, y, como precaución exigible por la práctica normal del marino a la que se refiere la regla 2, reducirá su velocidad a la mínima de gobierno o, si las circunstancias lo permiten, suprimirá su arrancada hasta que el buque de vela lo haya adelantado completamente y se encuentre en franquía.::0::0::::::A::79::::;;El buque de propulsión mecánica se mantendrá apartado de la derrota del buque de vela, de acuerdo con el orden de prioridades establecido en la regla 18.a.iv, sobre obligaciones entre categorías de buques, y maniobrará de forma tal que el buque de vela quede siempre por barlovento, a los efectos de la regla 13 y como precaución exigida por la práctica normal del marino, a la que se refiere la regla 2.::0::0::::::A::80::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,20
Reglamento (RIPA),"&lt;p&gt;Según la regla 33.b del RIPA, los buques de eslora inferior a 12 m:&lt;/p&gt;",,,radio,1,,,,off,off,1,"Si no llevan pito, campana o gong, deberán ir dotados de otros medios para hacer señales acústicas eficaces.::1::0::::::A::81::::;;Deben llevar siempre un gong.::0::0::::::A::82::::;;Deben llevar siempre una campana.::0::0::::::A::83::::;;Deben llevar siempre un pito.::0::0::::::A::84::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,21
Reglamento (RIPA),"&lt;p&gt;Conforme a la regla 9.c del RIPA, en un paso o canal angosto:&lt;/p&gt;",,,radio,1,,,,off,off,1,"Los buques de eslora inferior a 20 metros, o los buques de vela, no estorbarán el tránsito de ningún otro buque que navegue dentro de dicho paso o canal.::0::0::::::A::85::::;;Los buques de eslora inferior a 24 metros, o los buques de vela, no estorbarán el tránsito de un buque que sólo pueda navegar con seguridad dentro de dicho paso o canal.::0::0::::::A::86::::;;Los buques de eslora inferior a 20 metros, o los buques de vela, no estorbarán el tránsito de los buques dedicados a la pesca dentro de dicho paso o canal.::0::0::::::A::87::::;;Los buques dedicados a la pesca no estorbarán el tránsito de ningún otro buque que navegue dentro de dicho paso o canal.::1::0::::::A::88::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,22
Reglamento (RIPA),"&lt;p&gt;Según la regla 6 del RIPA, velocidad de seguridad es:&lt;/p&gt;",,,radio,1,,,,off,off,1,Una velocidad máxima de 6 nudos o la velocidad mínima de gobierno si ésta es mayor.::0::0::::::A::89::::;;Una velocidad máxima de 3 nudos o la velocidad mínima de gobierno si ésta es mayor.::0::0::::::A::90::::;;Una velocidad tal que permita al buque ejecutar la maniobra adecuada y eficaz para evitar el abordaje y pararse a la distancia que sea apropiada a las circunstancias y condiciones del momento.::1::0::::::A::91::::;;Una velocidad que depende únicamente de las características de cada buque y que le permite ejecutar la maniobra adecuada y eficaz para evitar el abordaje y pararse a una distancia de seguridad apropiada a las circunstancias y condiciones del momento.::0::0::::::A::92::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,23
Reglamento (RIPA),&lt;p&gt;Las señales que indican peligro y necesidad de ayuda en el Anexo IV del RIPA:&lt;/p&gt;,,,radio,1,,,,off,off,1,Deben utilizarse siempre por separado.::0::0::::::A::93::::;;Deben utilizarse siempre todas a la vez.::0::0::::::A::94::::;;Pueden utilizarse o exhibirse juntas o por separado.::1::0::::::A::95::::;;No deben utilizarse nunca.::0::0::::::A::96::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,24
