category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
"Balizamiento","&lt;p&gt;&lt;strong&gt;El color amarillo en las boyas significa …&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Marcas especiales.::1::0::::::A::2445::::;;Marcas laterales.::0::0::::::A::2446::::;;Aguas navegables.::0::0::::::A::2447::::;;Marcas de peligro aislado::0::0::::::A::2448::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","612"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Una marca esférica con franjas verticales rojas y blancas es: &lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Una marca lateral que indica canal principal a babor.::0::0::::::A::2441::::;;Una marca cardinal Norte.::0::0::::::A::2442::::;;Una marca de aguas navegables.::1::0::::::A::2443::::;;Una marca especial.::0::0::::::A::2444::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","611"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Las marcas de peligro aislado son negras, con una o más bandas anchas horizontales rojas. Su marca de tope está formada por:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Una esfera negra.::0::0::::::A::2437::::;;Dos esferas negras superpuestas.::1::0::::::A::2438::::;;Un cilindro negro.::0::0::::::A::2439::::;;Dos cilindros negros superpuestos.::0::0::::::A::2440::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","610"
"Balizamiento","&lt;p&gt;En el sistema cardinal las marcas son...&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Boyas de castillete o espeques.::0::0::::::A::2433::::;;Boya cilíndricas.::1::0::::::A::2434::::;;Boyas cónicas.::0::0::::::A::2435::::;;Boyas cilíndricas o espeques.::0::0::::::A::2436::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","609"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Las marcas laterales de babor. ¿Qué forma pueden tener?&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Castillete.::0::0::::::A::2377::::;;Espeque.::0::0::::::A::2378::::;;Cilíndrica.::0::0::::::A::2379::::;;Todas las respuestas anteriores son correctas.::1::0::::::A::2380::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","595"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Que forma deben tener las marcas especiales:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"De castillete o de espeque.::0::0::::::A::2373::::;;De castilletes, cilindricas o espeques.::0::0::::::A::2374::::;;Cualquiera siempre que no se confundan con las demás marcas para la navegación.::1::0::::::A::2375::::;;De castillete, espeque o cónicas.::0::0::::::A::2376::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","594"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Navegando de día vemos por nuestra proa una marca con franjas rojas y&lt;/strong&gt;&lt;br /&gt;&lt;strong&gt;negras, ¿qué deberemos hacer?: &lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Maniobraremos cayendo a estribor.::0::0::::::A::2369::::;;Maniobraremos cayendo a babor.::0::0::::::A::2370::::;;Caeremos a babor o estribor, dependiendo de la zona.::1::0::::::A::2371::::;;Maniobraremos dejándola por el cuadrante que indica la marca de tope.::0::0::::::A::2372::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","593"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Avistamos una boya que emite 3 centelleos blancos cada 10 segundos. Las&lt;/strong&gt;&lt;br /&gt;&lt;strong&gt;aguas más profundas la encontraremos: &lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Al norte de la marca.::0::0::::::A::2365::::;;Al este de la marca.::1::0::::::A::2366::::;;Al oeste de la marca.::0::0::::::A::2367::::;;Alrededor de la marca ya que señala un peligro aislado.::0::0::::::A::2368::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","592"
"Balizamiento","&lt;p&gt;&lt;strong&gt;¿Cuál es la marca de tope de la boya del sistema lateral que nos indica canal&lt;/strong&gt;&lt;br /&gt;&lt;strong&gt;principal a estribor en una bifurcación?&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Un cono rojo con el vértice hacia arriba.::0::0::::::A::2361::::;;Un cono verde con el vértice hacia arriba.::0::0::::::A::2362::::;;Un cilindro verde::0::0::::::A::2363::::;;Un cilindro rojo::1::0::::::A::2364::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","591"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Las marcas especiales son de color &lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"amarillo y pueden llevar una marca de tope en forma de V.::0::0::::::A::2357::::;;rojo y pueden llevar una marca de tope en forma de V.::0::0::::::A::2358::::;;negro y pueden llevar una marca de tope en forma de X.::0::0::::::A::2359::::;;amarillo y pueden llevar una marca de tope en forma de X.::1::0::::::A::2360::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","590"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Dos conos superpuestos, opuestos por sus bases, como marca de tope de una boya pintada con banda amarilla entre dos bandas negras, indica…&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Aguas más profundas al oeste de la marca.::0::0::::::A::2353::::;;Aguas más profundas al norte de la marca.::0::0::::::A::2354::::;;Aguas más profundas al sur de la marca.::0::0::::::A::2355::::;;Aguas más profundas al este de la marca.::1::0::::::A::2356::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","589"
"Balizamiento","&lt;p&gt;&lt;strong&gt;En una marca de peligro aislado, el ritmo y el color de su luz es:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Dos destellos de color rojo.::0::0::::::A::2349::::;;Grupo de dos destellos de color blanco.::1::0::::::A::2350::::;;Grupo de dos destellos de color verde.::0::0::::::A::2351::::;;Un destello color blanco.::0::0::::::A::2352::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","588"
"Balizamiento","&lt;p&gt;&lt;strong&gt;El ritmo de la luz de la marca de tope de una marca cardinal Oeste, es:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"9 centelleos muy rápidos seguidos de un período de oscuridad.::1::0::::::A::2345::::;;6 centelleos muy rápidos seguidos de un período de oscuridad.::0::0::::::A::2346::::;;3 centelleos muy rápidos seguidos de un período de oscuridad.::0::0::::::A::2347::::;;Centelleo continuo muy rápido.::0::0::::::A::2348::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","587"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Una marca cónica de color verde con una franja roja, indica:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Marca lateral de estribor.::0::0::::::A::2341::::;;Marca lateral de babor.::0::0::::::A::2342::::;;Canal principal a babor.::1::0::::::A::2343::::;;Canal principal a estribor.::0::0::::::A::2344::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","586"
"Balizamiento","&lt;p&gt;&lt;strong&gt;¿Cuál es la marca de tope de las marcas especiales?: &lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Dos conos opuestos por sus vértices.::0::0::::::A::2337::::;;Dos esferas negras en vertical.::0::0::::::A::2338::::;;Amarilla en forma de aspa.::1::0::::::A::2339::::;;Dos conos superpuestos con los vértices hacia arriba.::0::0::::::A::2340::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","585"
"Balizamiento","&lt;p&gt;&lt;strong&gt;¿Cuál es la marca de tope de un espeque que indica aguas navegables?:&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Dos conos negros superpuestos.::0::0::::::A::2333::::;;Dos esferas negras superpuestas.::0::0::::::A::2334::::;;Un esfera roja.::1::0::::::A::2335::::;;Un aspa.::0::0::::::A::2336::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","584"
"Balizamiento","&lt;p&gt;&lt;strong&gt;Para indicar peligros aislados de dimensiones limitadas enteramente rodeados de aguas navegables, se utilizan las…&lt;/strong&gt;&lt;/p&gt;",,"",radio,1,"","","",off,off,1,"Marcas cardinales.::0::0::::::A::2329::::;;Marcas de peligro aislado.::1::0::::::A::2330::::;;Marcas especiales.::0::0::::::A::2331::::;;Marcas de aguas navegables.::0::0::::::A::2332::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,"","583"
