category,question,question_image,question_hint,type,published,wrong_answer_text,right_answer_text,explanation,user_explanation,not_influence_to_score,weight,answers,options,question_title,tags,id
Legislación,"&lt;p&gt;Convenio SOLAS. ""El capitán de todo buque que estando en condiciones de prestar ayuda reciba una información de la fuente que sea, al efecto de que hay personas siniestradas en la mar, estará obligado a acudir a toda máquina en su auxilio, informando a éstas de ello o al servicio de búsqueda y salvamento""&lt;/p&gt;",,,radio,1,,,,off,off,1,Verdadero.::1::0::::::A::21101::::;;Falso.::0::0::::::A::21102::::;;Depende de la nacionalidad y situación jurídica de las personas siniestradas.::0::0::::::A::21103::::;;Las respuestas a) y c) son correctas.::0::0::::::A::21104::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5276
Legislación,"&lt;p&gt;En los canales balizados de acceso a las playas, la velocidad máxima admitida es de:&lt;/p&gt;",,,radio,1,,,,off,off,1,3 nudos.::1::0::::::A::21105::::;;6 nudos.::0::0::::::A::21106::::;;10 nudos.::0::0::::::A::21107::::;;No hay límite de velocidad.::0::0::::::A::21108::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5277
Balizamiento,"&lt;p&gt;Dos conos superpuestos con los vértices hacia arriba, es la marca de tope de…&lt;/p&gt;",,,radio,1,,,,off,off,1,Marca de peligro aislado.::0::0::::::A::21109::::;;Marca cardinal Norte.::1::0::::::A::21110::::;;No existe.::0::0::::::A::21111::::;;Ninguna de las respuestas es correcta.::0::0::::::A::21112::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5278
Balizamiento,"&lt;p&gt;Dos conos superpuestos, opuestos por sus bases, como marca de tope de una boya pintada con banda amarilla entre dos bandas negras, indica…&lt;/p&gt;",,,radio,1,,,,off,off,1,Aguas más profundas al Oeste de la marca.::0::0::::::A::21113::::;;Aguas más profundas al Norte de la marca.::0::0::::::A::21114::::;;Aguas más profundas al Sur de la marca.::0::0::::::A::21115::::;;Aguas más profundas al Este de la marca.::1::0::::::A::21116::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5279
Balizamiento,"&lt;p&gt;El ritmo de la luz de la marca de tope de una marca cardinal Oeste, es:&lt;/p&gt;",,,radio,1,,,,off,off,1,9 centelleos muy rápidos seguidos de un período de oscuridad.::1::0::::::A::21117::::;;6 centelleos muy rápidos seguidos de un período de oscuridad.::0::0::::::A::21118::::;;3 centelleos muy rápidos seguidos de un período de oscuridad.::0::0::::::A::21119::::;;Centelleo continuo muy rápido.::0::0::::::A::21120::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5280
Balizamiento,&lt;p&gt;La marca de tope de una marca especial es:&lt;/p&gt;,,,radio,1,,,,off,off,1,Un aspa amarilla en forma de X.::1::0::::::A::21121::::;;Un cono rojo.::0::0::::::A::21122::::;;Una esfera verde.::0::0::::::A::21123::::;;Una esfera roja.::0::0::::::A::21124::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5281
Balizamiento,&lt;p&gt;El tope de las marcas laterales de babor de la Región A es:&lt;/p&gt;,,,radio,1,,,,off,off,1,Un cilindro rojo.::1::0::::::A::21125::::;;Un cilindro verde.::0::0::::::A::21126::::;;Un cono rojo.::0::0::::::A::21127::::;;Un cono verde.::0::0::::::A::21128::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5282
Reglamento (RIPA),"&lt;p&gt;La definición de la regla 3 del RIPA, ""…todo buque que por cualquier circunstancia excepcional es incapaz de maniobrar en la forma exigida por este reglamento y, por consiguiente, no puede apartarse de la derrota de otro buque…"" corresponde a un…&lt;/p&gt;",,,radio,1,,,,off,off,1,buque con capacidad de maniobra restringida.::0::0::::::A::21129::::;;buque sin gobierno.::1::0::::::A::21130::::;;buque restringido por su calado.::0::0::::::A::21131::::;;Ninguna de las tres respuestas es correcta.::0::0::::::A::21132::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5283
Reglamento (RIPA),"&lt;p&gt;Según la Regla 6 del RIPA, para determinar la velocidad de seguridad se tendrán en cuenta, entre otras…&lt;/p&gt;",,,radio,1,,,,off,off,1,"el estado de visibilidad.::0::0::::::A::21133::::;;el estado del viento, mar y corriente y la proximidad de peligros para la navegación.::0::0::::::A::21134::::;;el calado, en relación con la profundidad disponible de agua.::0::0::::::A::21135::::;;Todas las respuestas son correctas.::1::0::::::A::21136::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5284
Reglamento (RIPA),"&lt;p&gt;Según la Regla 7 del RIPA, para determinar si existe riesgo de abordaje, se tendrá en cuenta, entre otros…&lt;/p&gt;",,,radio,1,,,,off,off,1,se considerará que existe riesgo si la demora o la marcación de un buque que se aproxima varía en forma apreciable.::0::0::::::A::21137::::;;se considerará que existe riesgo si la demora o la marcación de un buque que se aproxima no varía en forma apreciable.::0::0::::::A::21138::::;;en algunos casos puede existir riesgo aún cuando sea evidente una variación apreciable de la demora.::0::0::::::A::21139::::;;Las respuestas b) y c) son correctas.::1::0::::::A::21140::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5285
Reglamento (RIPA),"&lt;p&gt;Según la Regla 9 del RIPA, ""los buques dedicados a la pesca no estorbarán el tránsito de otro buque que navegue dentro de un paso o canal angosto""…&lt;/p&gt;",,,radio,1,,,,off,on,1,"Verdadero.::0::0::::::A::21141::::;;Falso.::0::0::::::A::21142::::;;Sólo cuando los buques estén pescando con redes, líneas, aparejos de arrastre u otros artes de pesca que restrinjan su maniobrabilidad.::0::0::::::A::21143::::;;Las respuestas a) y c) son correctas.::0::0::::::A::21144::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5286
Reglamento (RIPA),"&lt;p&gt;Según la Regla 10 del RIPA, ""fondear dentro de un dispositivo de separación de tráfico o en las zonas próximas a sus extremos""…&lt;/p&gt;",,,radio,1,,,,off,off,1,Está prohibido siempre.::0::0::::::A::21145::::;;Se evitará en lo posible.::0::0::::::A::21146::::;;Está prohibido para las embarcaciones de más de 20 metros.::0::0::::::A::21147::::;;Las respuestas b) y c) son correctas.::1::0::::::A::21148::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5287
Reglamento (RIPA),"&lt;p&gt;Según la Regla 12 del RIPA, ""Cuando dos buques de vela se aproximen uno al otro, con riesgo de abordaje, uno de ellos se mantendrá apartado de la derrota del otro en la forma siguiente:""…&lt;/p&gt;",,,radio,1,,,,off,off,1,"cuando cada uno de ellos reciba el viento por bandas contrarias, el que lo reciba por estribor se mantendrá apartado de la derrota del otro.::0::0::::::A::21149::::;;cuando ambos reciban el viento por la misma banda, el buque que esté a sotavento se mantendrá apartado de la derrota del que está a barlovento.::0::0::::::A::21150::::;;si un buque que recibe el viento por babor avista a otro buque por barlovento y no puede determinar con certeza si el otro buque recibe el viento por babor o estribor, se mantendrá apartado de la derrota del otro.::1::0::::::A::21151::::;;Ninguna respuesta es correcta.::0::0::::::A::21152::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5288
Reglamento (RIPA),"&lt;p&gt;Según la Regla 14 del RIPA, ""Cuando dos buques de propulsión mecánica naveguen de vuelta encontrada a rumbos opuestos, con riesgo de abordaje…""&lt;/p&gt;",,,radio,1,,,,off,off,1,cada uno de ellos caerá a babor de forma que pase por la banda de estribor del otro.::0::0::::::A::21153::::;;cada uno de ellos caerá a estribor de forma que pase por la banda de babor del otro.::1::0::::::A::21154::::;;aquel que se encuentre a barlovento caerá a estribor.::0::0::::::A::21155::::;;aquel que se encuentre a barlovento caerá a babor.::0::0::::::A::21156::::;;,bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5289
Reglamento (RIPA),"&lt;p&gt;Regla 14 del RIPA -Situación ""de vuelta encontrada"": En su apartado ""b"" esta regla indica que ""se considerará que tal situación existe cuando un buque vea a otro por…""&lt;/p&gt;",,,radio,1,,,,off,off,1,"Su proa, o casi por su proa.::1::0::::::A::21157::::;;Por la aleta de estribor.::0::0::::::A::21158::::;;Por la aleta de babor.::0::0::::::A::21159::::;;Por el través.::0::0::::::A::21160::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5290
Reglamento (RIPA),"&lt;p&gt;Regla 27 del RIPA -Buques sin gobierno o con capacidad de maniobra restringida: ""Los buques sin gobierno exhibirán…""&lt;/p&gt;",,,radio,1,,,,off,off,1,"Dos luces rojas todo horizonte en línea vertical, en el lugar más visible.::1::0::::::A::21161::::;;Dos luces verdes todo horizonte en línea vertical, en el lugar más visible.::0::0::::::A::21162::::;;Una luz roja superior y otra verde inferior en línea vertical.::0::0::::::A::21163::::;;Una luz verde superior y otra roja inferior en línea vertical.::0::0::::::A::21164::::;;",bg_image=::use_html=off::enable_question_text_max_length=off::question_text_max_length=::question_limit_text_type=characters::question_enable_text_message=off::enable_question_number_max_length=off::question_number_max_length=::quiz_hide_question_text=off::enable_max_selection_number=off::max_selection_number=::quiz_question_note_message=::enable_case_sensitive_text=off::enable_min_selection_number=off::min_selection_number=::enable_question_number_min_length=off::question_number_min_length=::enable_question_number_error_message=off::question_number_error_message=::quiz_enable_question_stripslashes=off::quiz_disable_answer_stripslashes=off::answer_slug_max_id=1::answer_incorrect_matches=::enable_question_upload_types=off::question_upload_types=::question_upload_file_max_size=1,,,5291
